seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,bounded_substrate_reservoir_100,900,568,100,0.0115,0.062,0.003,0.535,0.4825
0,bounded_substrate_reservoir_100,950,585,100,0.0115,0.064,0.003,0.535,0.4825
0,bounded_substrate_reservoir_100,1000,604,100,0.0115,0.066,0.003,0.6225,0.4825
0,bounded_substrate_reservoir_100,1050,626,100,0.0115,0.068,0.003,0.6225,0.4825
0,bounded_substrate_reservoir_100,1100,647,100,0.0115,0.07,0.003,0.6225,0.4825
0,bounded_substrate_reservoir_100,1150,664,100,0.0115,0.0715,0.003,0.6225,0.4825
0,bounded_substrate_reservoir_100,1195,685,100,0.0115,0.0745,0.003,0.6325,0.4825
0,bounded_substrate_fifo_100,0,0,100,0.004,0.0,0.0,0.0,0.0125
0,bounded_substrate_fifo_100,50,14,100,0.004,0.0025,0.0,0.8875,0.0125
0,bounded_substrate_fifo_100,100,17,100,0.004,0.004,0.0,0.9425,0.0125
0,bounded_substrate_fifo_100,150,19,100,0.004,0.0045,0.0,0.955,0.0125
0,bounded_substrate_fifo_100,200,22,100,0.004,0.0055,0.0,0.955,0.0125
0,bounded_substrate_fifo_100,250,22,100,0.004,0.006,0.0,0.955,0.0125
0,bounded_substrate_fifo_100,300,26,100,0.004,0.007,0.0,0.965,0.0125
0,bounded_substrate_fifo_100,350,26,100,0.004,0.0075,0.0,0.965,0.0125
0,bounded_substrate_fifo_100,400,27,100,0.004,0.0085,0.0,0.965,0.0125
0,bounded_substrate_fifo_100,450,31,100,0.004,0.01,0.0,0.98,0.0125
0,bounded_substrate_fifo_100,500,33,100,0.004,0.0105,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,550,34,100,0.004,0.011,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,600,36,100,0.004,0.0115,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,650,42,100,0.004,0.0125,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,700,45,100,0.004,0.013,0.0,0.9775,0.0125
0,bounded_substrate_fifo_100,750,45,100,0.004,0.0135,0.0,0.9775,0.0125
0,bounded_substrate_fifo_100,800,45,100,0.004,0.014,0.0,0.9775,0.0125
0,bounded_substrate_fifo_100,850,46,100,0.004,0.015,0.0,0.9775,0.0125
0,bounded_substrate_fifo_100,900,47,100,0.004,0.0155,0.0,0.9775,0.0125
0,bounded_substrate_fifo_100,950,49,100,0.004,0.016,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,1000,50,100,0.004,0.017,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,1050,50,100,0.004,0.0175,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,1100,51,100,0.004,0.0185,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,1150,51,100,0.004,0.019,0.0,0.9825,0.0125
0,bounded_substrate_fifo_100,1195,52,100,0.004,0.02,0.0,0.9825,0.0125
0,bounded_substrate_reservoir_500,0,0,500,0.0105,0.0,0.0,0.0,0.8225
0,bounded_substrate_reservoir_500,50,45,500,0.0105,0.075,0.004,0.1375,0.82
0,bounded_substrate_reservoir_500,100,82,500,0.0105,0.14,0.0075,0.2575,0.82
0,bounded_substrate_reservoir_500,150,111,500,0.0105,0.1915,0.0085,0.3675,0.82
0,bounded_substrate_reservoir_500,200,136,500,0.0105,0.242,0.011,0.385,0.82
0,bounded_substrate_reservoir_500,250,163,500,0.0105,0.2866,0.0145,0.4325,0.82
0,bounded_substrate_reservoir_500,300,189,500,0.0105,0.3336,0.0165,0.465,0.82
0,bounded_substrate_reservoir_500,350,214,500,0.0105,0.3736,0.0195,0.465,0.82
0,bounded_substrate_reservoir_500,400,241,500,0.0105,0.4201,0.02,0.45,0.815
0,bounded_substrate_reservoir_500,450,280,500,0.0105,0.4861,0.0255,0.45,0.815
0,bounded_substrate_reservoir_500,500,311,500,0.0105,0.5376,0.0275,0.515,0.815
0,bounded_substrate_reservoir_500,550,330,500,0.0105,0.5731,0.029,0.525,0.82
0,bounded_substrate_reservoir_500,600,353,500,0.0105,0.6161,0.0295,0.525,0.82
0,bounded_substrate_reservoir_500,650,384,500,0.0105,0.6667,0.0315,0.565,0.8175
0,bounded_substrate_reservoir_500,700,404,500,0.0105,0.7042,0.033,0.565,0.8175
