dataset,policy,seed,system,step,corrections,acc_novel,acc_original,pred_secs,correct_secs
banking77,oracle,2,static_knn,1100,1100,0.0,0.955,0.3711,0.0005
banking77,oracle,2,static_knn,1150,1150,0.0,0.955,0.3916,0.0005
banking77,oracle,2,static_knn,1200,1200,0.0,0.955,0.4091,0.0005
banking77,oracle,2,static_knn,1250,1250,0.0,0.955,0.4266,0.001
banking77,oracle,2,static_knn,1300,1300,0.0,0.955,0.4426,0.001
banking77,oracle,2,static_knn,1350,1350,0.0,0.955,0.4586,0.001
banking77,oracle,2,static_knn,1400,1400,0.0,0.955,0.4746,0.001
banking77,oracle,2,static_knn,1450,1450,0.0,0.955,0.4891,0.001
banking77,oracle,2,static_knn,1500,1500,0.0,0.955,0.5146,0.001
banking77,oracle,2,static_knn,1517,1517,0.0,0.955,0.5192,0.001
banking77,oracle,2,static_linear,0,0,0.0,0.945,0.0,0.0
banking77,oracle,2,static_linear,50,50,0.0,0.945,0.001,0.0
banking77,oracle,2,static_linear,100,100,0.0,0.945,0.0015,0.0
banking77,oracle,2,static_linear,150,150,0.0,0.945,0.0025,0.0
banking77,oracle,2,static_linear,200,200,0.0,0.945,0.003,0.0
banking77,oracle,2,static_linear,250,250,0.0,0.945,0.0035,0.0
banking77,oracle,2,static_linear,300,300,0.0,0.945,0.004,0.0
banking77,oracle,2,static_linear,350,350,0.0,0.945,0.0055,0.0
banking77,oracle,2,static_linear,400,400,0.0,0.945,0.0065,0.0
banking77,oracle,2,static_linear,450,450,0.0,0.945,0.007,0.0
banking77,oracle,2,static_linear,500,500,0.0,0.945,0.0075,0.0
banking77,oracle,2,static_linear,550,550,0.0,0.945,0.008,0.0
banking77,oracle,2,static_linear,600,600,0.0,0.945,0.009,0.0
banking77,oracle,2,static_linear,650,650,0.0,0.945,0.0095,0.0
banking77,oracle,2,static_linear,700,700,0.0,0.945,0.0105,0.0005
banking77,oracle,2,static_linear,750,750,0.0,0.945,0.0115,0.0005
banking77,oracle,2,static_linear,800,800,0.0,0.945,0.012,0.0005
banking77,oracle,2,static_linear,850,850,0.0,0.945,0.0125,0.0005
banking77,oracle,2,static_linear,900,900,0.0,0.945,0.013,0.0005
banking77,oracle,2,static_linear,950,950,0.0,0.945,0.0135,0.0005
banking77,oracle,2,static_linear,1000,1000,0.0,0.945,0.014,0.0005
banking77,oracle,2,static_linear,1050,1050,0.0,0.945,0.015,0.0005
banking77,oracle,2,static_linear,1100,1100,0.0,0.945,0.016,0.0005
banking77,oracle,2,static_linear,1150,1150,0.0,0.945,0.017,0.0005
banking77,oracle,2,static_linear,1200,1200,0.0,0.945,0.018,0.0005
banking77,oracle,2,static_linear,1250,1250,0.0,0.945,0.019,0.0005
banking77,oracle,2,static_linear,1300,1300,0.0,0.945,0.0195,0.0005
banking77,oracle,2,static_linear,1350,1350,0.0,0.945,0.02,0.0005
banking77,oracle,2,static_linear,1400,1400,0.0,0.945,0.021,0.0005
banking77,oracle,2,static_linear,1450,1450,0.0,0.945,0.022,0.0005
banking77,oracle,2,static_linear,1500,1500,0.0,0.945,0.023,0.0005
banking77,oracle,2,static_linear,1517,1517,0.0,0.945,0.023,0.0005
banking77,oracle,2,online_linear,0,0,0.0,0.945,0.0,0.0
banking77,oracle,2,online_linear,50,50,0.0,0.9475,0.0,0.0105
banking77,oracle,2,online_linear,100,100,0.0,0.9525,0.0,0.021
banking77,oracle,2,online_linear,150,150,0.0,0.9525,0.002,0.028
banking77,oracle,2,online_linear,200,200,0.0,0.95,0.0025,0.038
banking77,oracle,2,online_linear,250,250,0.0,0.95,0.004,0.0486
banking77,oracle,2,online_linear,300,300,0.0,0.95,0.0055,0.0586
banking77,oracle,2,online_linear,350,350,0.0,0.95,0.0075,0.0681
banking77,oracle,2,online_linear,400,400,0.0,0.95,0.0085,0.0776
banking77,oracle,2,online_linear,450,450,0.0,0.9475,0.0085,0.0891
banking77,oracle,2,online_linear,500,500,0.0,0.945,0.01,0.0976
banking77,oracle,2,online_linear,550,550,0.0,0.945,0.0105,0.1061
banking77,oracle,2,online_linear,600,600,0.0,0.945,0.0115,0.1156
banking77,oracle,2,online_linear,650,650,0.0,0.9425,0.014,0.1231
banking77,oracle,2,online_linear,700,700,0.0125,0.94,0.017,0.1311
banking77,oracle,2,online_linear,750,748,0.0275,0.94,0.0185,0.1396
banking77,oracle,2,online_linear,800,796,0.0625,0.9425,0.02,0.1476
banking77,oracle,2,online_linear,850,842,0.095,0.9425,0.0205,0.1576
banking77,oracle,2,online_linear,900,884,0.135,0.9375,0.0215,0.1651
banking77,oracle,2,online_linear,950,928,0.1975,0.935,0.0215,0.1736
banking77,oracle,2,online_linear,1000,966,0.24,0.935,0.0235,0.1806
banking77,oracle,2,online_linear,1050,1000,0.325,0.9325,0.0245,0.1881
banking77,oracle,2,online_linear,1100,1024,0.33,0.9325,0.025,0.1941
banking77,oracle,2,online_linear,1150,1051,0.375,0.93,0.027,0.1986
banking77,oracle,2,online_linear,1200,1082,0.4275,0.93,0.0275,0.2051
banking77,oracle,2,online_linear,1250,1114,0.465,0.9275,0.0285,0.2101
banking77,oracle,2,online_linear,1300,1134,0.48,0.925,0.029,0.2141
banking77,oracle,2,online_linear,1350,1155,0.51,0.925,0.03,0.2176
banking77,oracle,2,online_linear,1400,1172,0.5525,0.925,0.0305,0.2216
banking77,oracle,2,online_linear,1450,1195,0.5875,0.9175,0.0305,0.2266
banking77,oracle,2,online_linear,1500,1209,0.605,0.915,0.0315,0.2296
banking77,oracle,2,online_linear,1517,1217,0.625,0.9175,0.0315,0.2311
banking77,random50,0,substrate,0,0,0.0,0.97,0.0,0.0
banking77,random50,0,substrate,50,21,0.365,0.97,0.025,0.0085
banking77,random50,0,substrate,100,32,0.4875,0.97,0.047,0.0145
banking77,random50,0,substrate,150,45,0.5775,0.97,0.0715,0.0205
banking77,random50,0,substrate,200,52,0.5975,0.97,0.0945,0.0245
banking77,random50,0,substrate,250,65,0.67,0.97,0.117,0.031
banking77,random50,0,substrate,300,69,0.6925,0.97,0.142,0.033
banking77,random50,0,substrate,350,73,0.7225,0.97,0.1671,0.035
banking77,random50,0,substrate,400,76,0.7275,0.97,0.1911,0.0365
banking77,random50,0,substrate,450,82,0.7475,0.97,0.2157,0.0399
banking77,random50,0,substrate,500,86,0.75,0.97,0.2412,0.0419
banking77,random50,0,substrate,550,92,0.77,0.97,0.2677,0.0464
banking77,random50,0,substrate,600,97,0.78,0.97,0.2947,0.0484
banking77,random50,0,substrate,650,109,0.8125,0.9675,0.3237,0.0544
banking77,random50,0,substrate,700,112,0.8225,0.9675,0.3472,0.0559
banking77,random50,0,substrate,750,120,0.8325,0.9675,0.3727,0.0604
banking77,random50,0,substrate,800,122,0.835,0.9675,0.3967,0.0619
banking77,random50,0,substrate,850,127,0.8475,0.9675,0.4212,0.0639
banking77,random50,0,substrate,900,132,0.8525,0.9675,0.4457,0.0664
banking77,random50,0,substrate,950,141,0.8625,0.9675,0.4692,0.0714
banking77,random50,0,substrate,1000,144,0.8625,0.9675,0.4947,0.0729
banking77,random50,0,substrate,1050,147,0.8675,0.9675,0.5168,0.0755
banking77,random50,0,substrate,1100,151,0.8675,0.9675,0.5398,0.0775
banking77,random50,0,substrate,1150,154,0.8675,0.9675,0.5628,0.0789
banking77,random50,0,substrate,1195,156,0.8675,0.9675,0.5828,0.0799
banking77,random50,0,static_knn,0,0,0.0,0.97,0.0,0.0
banking77,random50,0,static_knn,50,27,0.0,0.97,0.017,0.0
banking77,random50,0,static_knn,100,49,0.0,0.97,0.035,0.0
banking77,random50,0,static_knn,150,77,0.0,0.97,0.053,0.0
banking77,random50,0,static_knn,200,101,0.0,0.97,0.0705,0.0
banking77,random50,0,static_knn,250,128,0.0,0.97,0.0875,0.0
banking77,random50,0,static_knn,300,154,0.0,0.97,0.1055,0.0
banking77,random50,0,static_knn,350,183,0.0,0.97,0.126,0.0
banking77,random50,0,static_knn,400,211,0.0,0.97,0.145,0.0
banking77,random50,0,static_knn,450,242,0.0,0.97,0.164,0.0
banking77,random50,0,static_knn,500,267,0.0,0.97,0.1841,0.0
banking77,random50,0,static_knn,550,293,0.0,0.97,0.2031,0.0
banking77,random50,0,static_knn,600,316,0.0,0.97,0.2216,0.0
banking77,random50,0,static_knn,650,344,0.0,0.97,0.2421,0.0
banking77,random50,0,static_knn,700,363,0.0,0.97,0.2601,0.0
banking77,random50,0,static_knn,750,388,0.0,0.97,0.2771,0.0
banking77,random50,0,static_knn,800,407,0.0,0.97,0.2941,0.0
banking77,random50,0,static_knn,850,436,0.0,0.97,0.3121,0.0
banking77,random50,0,static_knn,900,459,0.0,0.97,0.3291,0.0
